Ciudad,Fecha,Temperatura
Bogotá,30/05/2021,16.1
Bogotá,31/05/2021,16.3
Bogotá,01/06/2021,11.9
Bogotá,02/06/2021,14.2
Bogotá,03/06/2021,12.0
Bogotá,04/06/2021,17.6
Bogotá,05/06/2021,16.8
Bogotá,06/06/2021,13.8
Bogotá,07/06/2021,16.2
Bogotá,08/06/2021,15.3
Bogotá,09/06/2021,11.5
Bogotá,10/06/2021,16.0
Bogotá,11/06/2021,14.3
Bogotá,12/06/2021,14.0
Bogotá,13/06/2021,11.4
Bogotá,14/06/2021,17.0
Bogotá,15/06/2021,15.2
Bogotá,16/06/2021,16.4
Bogotá,17/06/2021,11.3
Bogotá,18/06/2021,10.9
Bogotá,19/06/2021,11.2
Bogotá,20/06/2021,15.2
Bogotá,21/06/2021,10.0
Bogotá,22/06/2021,12.8
Bogotá,23/06/2021,16.1
Bogotá,24/06/2021,10.6
Bogotá,25/06/2021,11.5
Bogotá,26/06/2021,13.3
Bogotá,27/06/2021,15.5
Bogotá,28/06/2021,15.3
Bogotá,29/06/2021,17.7
Bogotá,30/06/2021,17.6
Bogotá,01/07/2021,12.5
Bogotá,02/07/2021,16.9
Bogotá,03/07/2021,11.4
Bogotá,04/07/2021,11.5
Bogotá,05/07/2021,15.4
Bogotá,06/07/2021,14.2
Bogotá,07/07/2021,15.1
Bogotá,08/07/2021,15.1
Bogotá,09/07/2021,12.9
Bogotá,10/07/2021,17.5
Bogotá,11/07/2021,15.4
Bogotá,12/07/2021,10.3
Bogotá,13/07/2021,15.7
Bogotá,14/07/2021,15.8
Bogotá,15/07/2021,17.6
Bogotá,16/07/2021,15.9
Bogotá,17/07/2021,15.3
Bogotá,18/07/2021,15.9
Bogotá,19/07/2021,11.0
Bogotá,20/07/2021,14.4
Bogotá,21/07/2021,11.8
Bogotá,22/07/2021,17.5
Bogotá,23/07/2021,10.9
Bogotá,24/07/2021,16.8
Bogotá,25/07/2021,16.1
Bogotá,26/07/2021,12.4
Bogotá,27/07/2021,11.3
Bogotá,28/07/2021,16.8
Bogotá,29/07/2021,14.2
Bogotá,30/07/2021,11.8
Bogotá,31/07/2021,16.2
Bogotá,01/08/2021,14.3
Bogotá,02/08/2021,18.0
Bogotá,03/08/2021,15.0
Bogotá,04/08/2021,12.2
Bogotá,05/08/2021,11.6
Bogotá,06/08/2021,14.7
Bogotá,07/08/2021,15.0
Bogotá,08/08/2021,10.2
Bogotá,09/08/2021,11.6
Bogotá,10/08/2021,12.1
Bogotá,11/08/2021,15.4
Bogotá,12/08/2021,15.4
Bogotá,13/08/2021,17.1
Bogotá,14/08/2021,10.7
Bogotá,15/08/2021,17.7
Bogotá,16/08/2021,15.5
Bogotá,17/08/2021,15.8
Bogotá,18/08/2021,13.5
Bogotá,19/08/2021,11.1
Bogotá,20/08/2021,13.9
Bogotá,21/08/2021,17.3
Bogotá,22/08/2021,14.2
Bogotá,23/08/2021,13.5
Bogotá,24/08/2021,16.5
Bogotá,25/08/2021,12.6
Bogotá,26/08/2021,12.9
Bogotá,27/08/2021,13.7
Bogotá,28/08/2021,11.3
Bogotá,29/08/2021,12.0
Bogotá,30/08/2021,15.1
Bogotá,31/08/2021,12.3
Bogotá,01/09/2021,15.7
Bogotá,02/09/2021,14.1
Bogotá,03/09/2021,14.8
Bogotá,04/09/2021,13.5
Bogotá,05/09/2021,16.0
Bogotá,06/09/2021,16.4
Bogotá,07/09/2021,16.4
Bogotá,08/09/2021,12.3
Bogotá,09/09/2021,12.6
Bogotá,10/09/2021,11.1
Bogotá,11/09/2021,15.8
Bogotá,12/09/2021,12.8
Bogotá,13/09/2021,11.3
Bogotá,14/09/2021,10.6
Bogotá,15/09/2021,15.9
Bogotá,16/09/2021,14.5
Bogotá,17/09/2021,16.5
Bogotá,18/09/2021,11.7
Bogotá,19/09/2021,13.9
Bogotá,20/09/2021,13.6
Bogotá,21/09/2021,12.4
Bogotá,22/09/2021,16.8
Bogotá,23/09/2021,15.2
Bogotá,24/09/2021,11.8
Bogotá,25/09/2021,13.9
Bogotá,26/09/2021,10.1
Bogotá,27/09/2021,17.2
Bogotá,28/09/2021,10.1
Bogotá,29/09/2021,11.6
Bogotá,30/09/2021,17.0
Bogotá,01/10/2021,10.3
Bogotá,02/10/2021,16.0
Bogotá,03/10/2021,12.0
Bogotá,04/10/2021,17.2
Bogotá,05/10/2021,12.1
Bogotá,06/10/2021,14.7
Bogotá,07/10/2021,16.9
Bogotá,08/10/2021,14.5
Bogotá,09/10/2021,13.3
Bogotá,10/10/2021,12.1
Bogotá,11/10/2021,14.2
Bogotá,12/10/2021,13.6
Bogotá,13/10/2021,14.4
Bogotá,14/10/2021,16.4
Bogotá,15/10/2021,11.9
Bogotá,16/10/2021,16.0
Bogotá,17/10/2021,12.9
Bogotá,18/10/2021,10.5
Bogotá,19/10/2021,15.5
Bogotá,20/10/2021,15.6
Bogotá,21/10/2021,16.1
Bogotá,22/10/2021,10.5
Bogotá,23/10/2021,17.1
Bogotá,24/10/2021,17.7
Bogotá,25/10/2021,16.8
Bogotá,26/10/2021,13.0
Bogotá,27/10/2021,17.7
Bogotá,28/10/2021,13.4
Bogotá,29/10/2021,16.9
Bogotá,30/10/2021,15.1
Bogotá,31/10/2021,14.3
Bogotá,01/11/2021,14.8
Bogotá,02/11/2021,15.0
Bogotá,03/11/2021,11.1
Bogotá,04/11/2021,16.9
Bogotá,05/11/2021,15.1
Bogotá,06/11/2021,15.6
Bogotá,07/11/2021,16.8
Bogotá,08/11/2021,14.1
Bogotá,09/11/2021,13.6
Bogotá,10/11/2021,17.7
Bogotá,11/11/2021,17.3
Bogotá,12/11/2021,14.1
Bogotá,13/11/2021,16.6
Bogotá,14/11/2021,17.2
Bogotá,15/11/2021,12.8
Bogotá,16/11/2021,11.2
Bogotá,17/11/2021,11.2
Bogotá,18/11/2021,10.5
Bogotá,19/11/2021,15.4
Bogotá,20/11/2021,16.7
Bogotá,21/11/2021,14.6
Bogotá,22/11/2021,17.4
Bogotá,23/11/2021,12.1
Bogotá,24/11/2021,14.4
Bogotá,25/11/2021,16.3
Bogotá,26/11/2021,16.1
Bogotá,27/11/2021,12.2
Bogotá,28/11/2021,15.6
Bogotá,29/11/2021,17.2
Bogotá,30/11/2021,11.2
Bogotá,01/12/2021,14.7
Bogotá,02/12/2021,15.0
Bogotá,03/12/2021,13.0
Bogotá,04/12/2021,13.9
Bogotá,05/12/2021,14.3
Bogotá,06/12/2021,17.5
Bogotá,07/12/2021,11.7
Bogotá,08/12/2021,11.6
Bogotá,09/12/2021,12.2
Bogotá,10/12/2021,12.2
Bogotá,11/12/2021,16.8
Bogotá,12/12/2021,11.4
Bogotá,13/12/2021,14.3
Bogotá,14/12/2021,12.2
Bogotá,15/12/2021,16.4
Bogotá,16/12/2021,12.8
Bogotá,17/12/2021,14.2
Bogotá,18/12/2021,10.2
Bogotá,19/12/2021,11.4
Bogotá,20/12/2021,17.1
Bogotá,21/12/2021,16.2
Bogotá,22/12/2021,14.6
Bogotá,23/12/2021,13.2
Bogotá,24/12/2021,15.2
Bogotá,25/12/2021,14.1
Bogotá,26/12/2021,14.6
Bogotá,27/12/2021,14.6
Bogotá,28/12/2021,13.4
Bogotá,29/12/2021,15.8
Bogotá,30/12/2021,14.0
Bogotá,31/12/2021,15.0
Bogotá,01/01/2022,16.5
Bogotá,02/01/2022,17.7
Bogotá,03/01/2022,16.0
Bogotá,04/01/2022,17.3
Bogotá,05/01/2022,10.6
Bogotá,06/01/2022,17.8
Bogotá,07/01/2022,13.0
Bogotá,08/01/2022,17.6
Bogotá,09/01/2022,10.7
Bogotá,10/01/2022,13.8
Bogotá,11/01/2022,13.0
Bogotá,12/01/2022,15.3
Bogotá,13/01/2022,10.7
Bogotá,14/01/2022,13.1
Bogotá,15/01/2022,17.8
Bogotá,16/01/2022,10.6
Bogotá,17/01/2022,11.6
Bogotá,18/01/2022,16.8
Bogotá,19/01/2022,11.2
Bogotá,20/01/2022,14.2
Bogotá,21/01/2022,16.9
Bogotá,22/01/2022,12.4
Bogotá,23/01/2022,15.4
Bogotá,24/01/2022,14.1
Bogotá,25/01/2022,10.9
Bogotá,26/01/2022,10.8
Bogotá,27/01/2022,11.5
Bogotá,28/01/2022,12.9
Bogotá,29/01/2022,12.2
Bogotá,30/01/2022,15.3
Bogotá,31/01/2022,12.3
Bogotá,01/02/2022,13.9
Bogotá,02/02/2022,14.3
Bogotá,03/02/2022,11.7
Bogotá,04/02/2022,17.2
Bogotá,05/02/2022,14.6
Bogotá,06/02/2022,11.4
Bogotá,07/02/2022,11.9
Bogotá,08/02/2022,10.5
Bogotá,09/02/2022,17.1
Bogotá,10/02/2022,13.9
Bogotá,11/02/2022,10.6
Bogotá,12/02/2022,11.2
Bogotá,13/02/2022,10.5
Bogotá,14/02/2022,10.9
Bogotá,15/02/2022,14.9
Bogotá,16/02/2022,17.4
Bogotá,17/02/2022,16.8
Bogotá,18/02/2022,12.8
Bogotá,19/02/2022,13.3
Bogotá,20/02/2022,11.6
Bogotá,21/02/2022,11.1
Bogotá,22/02/2022,10.5
Bogotá,23/02/2022,17.6
Bogotá,24/02/2022,17.6
Bogotá,25/02/2022,12.2
Bogotá,26/02/2022,15.3
Bogotá,27/02/2022,13.4
Bogotá,28/02/2022,10.7
Bogotá,01/03/2022,16.8
Bogotá,02/03/2022,12.3
Bogotá,03/03/2022,11.8
Bogotá,04/03/2022,14.7
Bogotá,05/03/2022,13.1
Bogotá,06/03/2022,15.4
Bogotá,07/03/2022,12.4
Bogotá,08/03/2022,16.1
Bogotá,09/03/2022,14.9
Bogotá,10/03/2022,12.5
Bogotá,11/03/2022,10.5
Bogotá,12/03/2022,17.9
Bogotá,13/03/2022,16.7
Bogotá,14/03/2022,13.1
Bogotá,15/03/2022,14.9
Bogotá,16/03/2022,10.7
Bogotá,17/03/2022,16.4
Bogotá,18/03/2022,12.4
Bogotá,19/03/2022,12.5
Bogotá,20/03/2022,14.2
Bogotá,21/03/2022,13.4
Bogotá,22/03/2022,13.3
Bogotá,23/03/2022,17.9
Bogotá,24/03/2022,13.3
Bogotá,25/03/2022,13.2
Bogotá,26/03/2022,15.0
Bogotá,27/03/2022,15.6
Bogotá,28/03/2022,14.9
Bogotá,29/03/2022,15.8
Bogotá,30/03/2022,13.2
Bogotá,31/03/2022,16.6
Bogotá,01/04/2022,13.9
Bogotá,02/04/2022,10.1
Bogotá,03/04/2022,15.4
Bogotá,04/04/2022,15.0
Bogotá,05/04/2022,15.8
Bogotá,06/04/2022,11.0
Bogotá,07/04/2022,15.2
Bogotá,08/04/2022,11.0
Bogotá,09/04/2022,12.0
Bogotá,10/04/2022,12.3
Bogotá,11/04/2022,16.8
Bogotá,12/04/2022,14.9
Bogotá,13/04/2022,16.7
Bogotá,14/04/2022,12.6
Bogotá,15/04/2022,11.1
Bogotá,16/04/2022,13.7
Bogotá,17/04/2022,17.3
Bogotá,18/04/2022,13.7
Bogotá,19/04/2022,10.3
Bogotá,20/04/2022,15.2
Bogotá,21/04/2022,15.1
Bogotá,22/04/2022,13.5
Bogotá,23/04/2022,10.1
Bogotá,24/04/2022,11.2
Bogotá,25/04/2022,17.5
Bogotá,26/04/2022,10.4
Bogotá,27/04/2022,14.2
Bogotá,28/04/2022,11.2
Bogotá,29/04/2022,15.0
Bogotá,30/04/2022,14.9
Bogotá,01/05/2022,13.8
Bogotá,02/05/2022,15.6
Bogotá,03/05/2022,13.0
Bogotá,04/05/2022,15.3
Bogotá,05/05/2022,12.9
Bogotá,06/05/2022,14.8
Bogotá,07/05/2022,11.5
Bogotá,08/05/2022,12.7
Bogotá,09/05/2022,16.4
Bogotá,10/05/2022,14.7
Bogotá,11/05/2022,11.6
Bogotá,12/05/2022,10.9
Bogotá,13/05/2022,14.9
Bogotá,14/05/2022,12.3
Bogotá,15/05/2022,16.5
Bogotá,16/05/2022,13.2
Bogotá,17/05/2022,11.8
Bogotá,18/05/2022,13.8
Bogotá,19/05/2022,12.2
Bogotá,20/05/2022,10.8
Bogotá,21/05/2022,12.3
Bogotá,22/05/2022,10.0
Bogotá,23/05/2022,12.1
Bogotá,24/05/2022,11.6
Bogotá,25/05/2022,10.6
Bogotá,26/05/2022,10.1
Bogotá,27/05/2022,12.6
Bogotá,28/05/2022,17.9
Bogotá,29/05/2022,12.4
Bogotá,30/05/2022,14.3
Bogotá,31/05/2022,15.4
Bogotá,01/06/2022,11.3
Bogotá,02/06/2022,18.0
Bogotá,03/06/2022,11.7
Bogotá,04/06/2022,17.6
Bogotá,05/06/2022,10.5
Bogotá,06/06/2022,10.3
Bogotá,07/06/2022,10.7
Bogotá,08/06/2022,13.4
Bogotá,09/06/2022,13.5
Bogotá,10/06/2022,13.5
Bogotá,11/06/2022,16.3
Bogotá,12/06/2022,13.5
Bogotá,13/06/2022,10.2
Bogotá,14/06/2022,10.2
Bogotá,15/06/2022,14.0
Bogotá,16/06/2022,13.8
Bogotá,17/06/2022,14.5
Bogotá,18/06/2022,14.1
Bogotá,19/06/2022,13.8
Bogotá,20/06/2022,16.9
Bogotá,21/06/2022,16.4
Bogotá,22/06/2022,14.3
Bogotá,23/06/2022,10.6
Bogotá,24/06/2022,11.1
Bogotá,25/06/2022,14.9
Bogotá,26/06/2022,16.4
Bogotá,27/06/2022,13.1
Bogotá,28/06/2022,15.6
Bogotá,29/06/2022,17.8
Bogotá,30/06/2022,10.0
Bogotá,01/07/2022,13.7
Bogotá,02/07/2022,12.1
Bogotá,03/07/2022,12.0
Bogotá,04/07/2022,13.1
Bogotá,05/07/2022,15.2
Bogotá,06/07/2022,16.6
Bogotá,07/07/2022,16.8
Bogotá,08/07/2022,10.6
Bogotá,09/07/2022,12.2
Bogotá,10/07/2022,14.1
Bogotá,11/07/2022,15.9
Bogotá,12/07/2022,14.8
Bogotá,13/07/2022,16.6
Bogotá,14/07/2022,12.0
Bogotá,15/07/2022,15.8
Bogotá,16/07/2022,17.3
Bogotá,17/07/2022,10.2
Bogotá,18/07/2022,15.7
Bogotá,19/07/2022,14.9
Bogotá,20/07/2022,16.9
Bogotá,21/07/2022,15.2
Bogotá,22/07/2022,11.5
Bogotá,23/07/2022,10.8
Bogotá,24/07/2022,10.9
Bogotá,25/07/2022,15.6
Bogotá,26/07/2022,13.7
Bogotá,27/07/2022,11.0
Bogotá,28/07/2022,16.3
Bogotá,29/07/2022,10.6
Bogotá,30/07/2022,15.0
Bogotá,31/07/2022,13.9
Bogotá,01/08/2022,17.6
Bogotá,02/08/2022,15.5
Bogotá,03/08/2022,12.3
Bogotá,04/08/2022,17.8
Bogotá,05/08/2022,14.7
Bogotá,06/08/2022,18.0
Bogotá,07/08/2022,17.6
Bogotá,08/08/2022,13.9
Bogotá,09/08/2022,11.9
Bogotá,10/08/2022,13.8
Bogotá,11/08/2022,17.1
Bogotá,12/08/2022,17.4
Bogotá,13/08/2022,17.3
Bogotá,14/08/2022,17.8
Bogotá,15/08/2022,12.0
Bogotá,16/08/2022,12.6
Bogotá,17/08/2022,17.2
Bogotá,18/08/2022,11.5
Bogotá,19/08/2022,11.5
Bogotá,20/08/2022,10.7
Bogotá,21/08/2022,11.6
Bogotá,22/08/2022,13.9
Bogotá,23/08/2022,11.8
Bogotá,24/08/2022,15.6
Bogotá,25/08/2022,12.4
Bogotá,26/08/2022,16.0
Bogotá,27/08/2022,15.5
Bogotá,28/08/2022,10.2
Bogotá,29/08/2022,16.2
Bogotá,30/08/2022,14.0
Bogotá,31/08/2022,14.6
Bogotá,01/09/2022,11.0
Bogotá,02/09/2022,10.9
Bogotá,03/09/2022,15.2
Bogotá,04/09/2022,16.5
Bogotá,05/09/2022,15.6
Bogotá,06/09/2022,14.4
Bogotá,07/09/2022,16.0
Bogotá,08/09/2022,14.1
Bogotá,09/09/2022,15.6
Bogotá,10/09/2022,17.8
Bogotá,11/09/2022,15.2
Bogotá,12/09/2022,12.7
Bogotá,13/09/2022,15.0
Bogotá,14/09/2022,12.2
Bogotá,15/09/2022,16.3
Bogotá,16/09/2022,17.1
Bogotá,17/09/2022,13.5
Bogotá,18/09/2022,13.9
Bogotá,19/09/2022,17.6
Bogotá,20/09/2022,14.0
Bogotá,21/09/2022,11.8
Bogotá,22/09/2022,10.1
Bogotá,23/09/2022,12.5
Bogotá,24/09/2022,13.7
Bogotá,25/09/2022,13.8
Bogotá,26/09/2022,14.1
Bogotá,27/09/2022,14.9
Bogotá,28/09/2022,17.3
Bogotá,29/09/2022,17.2
Bogotá,30/09/2022,11.0
Bogotá,01/10/2022,15.8
Bogotá,02/10/2022,11.7
Bogotá,03/10/2022,13.1
Bogotá,04/10/2022,16.4
Bogotá,05/10/2022,13.1
Bogotá,06/10/2022,11.3
Bogotá,07/10/2022,13.3
Bogotá,08/10/2022,13.5
Bogotá,09/10/2022,18.0
Bogotá,10/10/2022,10.4
Bogotá,11/10/2022,11.9
Bogotá,12/10/2022,16.5
Bogotá,13/10/2022,11.3
Bogotá,14/10/2022,11.1
Bogotá,15/10/2022,14.3
Bogotá,16/10/2022,12.2
Bogotá,17/10/2022,16.3
Bogotá,18/10/2022,10.3
Bogotá,19/10/2022,17.5
Bogotá,20/10/2022,11.6
Bogotá,21/10/2022,16.7
Bogotá,22/10/2022,13.5
Bogotá,23/10/2022,10.3
Bogotá,24/10/2022,11.1
Bogotá,25/10/2022,12.8
Bogotá,26/10/2022,14.3
Bogotá,27/10/2022,15.4
Bogotá,28/10/2022,15.1
Bogotá,29/10/2022,17.6
Bogotá,30/10/2022,17.1
Bogotá,31/10/2022,12.9
Bogotá,01/11/2022,10.1
Bogotá,02/11/2022,14.0
Bogotá,03/11/2022,12.8
Bogotá,04/11/2022,11.5
Bogotá,05/11/2022,14.7
Bogotá,06/11/2022,10.4
Bogotá,07/11/2022,12.0
Bogotá,08/11/2022,16.9
Bogotá,09/11/2022,11.3
Bogotá,10/11/2022,17.4
Bogotá,11/11/2022,17.6
Bogotá,12/11/2022,14.9
Bogotá,13/11/2022,16.6
Bogotá,14/11/2022,16.0
Bogotá,15/11/2022,16.0
Bogotá,16/11/2022,10.8
Bogotá,17/11/2022,11.8
Bogotá,18/11/2022,10.3
Bogotá,19/11/2022,14.4
Bogotá,20/11/2022,13.1
Bogotá,21/11/2022,16.5
Bogotá,22/11/2022,10.8
Bogotá,23/11/2022,12.1
Bogotá,24/11/2022,15.5
Bogotá,25/11/2022,11.3
Bogotá,26/11/2022,16.2
Bogotá,27/11/2022,16.8
Bogotá,28/11/2022,12.0
Bogotá,29/11/2022,11.0
Bogotá,30/11/2022,13.3
Bogotá,01/12/2022,11.0
Bogotá,02/12/2022,16.0
Bogotá,03/12/2022,10.2
Bogotá,04/12/2022,12.1
Bogotá,05/12/2022,16.6
Bogotá,06/12/2022,16.8
Bogotá,07/12/2022,16.6
Bogotá,08/12/2022,16.0
Bogotá,09/12/2022,14.3
Bogotá,10/12/2022,11.9
Bogotá,11/12/2022,14.1
Bogotá,12/12/2022,16.2
Bogotá,13/12/2022,16.5
Bogotá,14/12/2022,17.1
Bogotá,15/12/2022,13.6
Bogotá,16/12/2022,11.0
Bogotá,17/12/2022,10.1
Bogotá,18/12/2022,14.3
Bogotá,19/12/2022,12.3
Bogotá,20/12/2022,13.5
Bogotá,21/12/2022,11.3
Bogotá,22/12/2022,16.4
Bogotá,23/12/2022,17.3
Bogotá,24/12/2022,14.4
Bogotá,25/12/2022,16.9
Bogotá,26/12/2022,12.3
Bogotá,27/12/2022,15.9
Bogotá,28/12/2022,14.9
Bogotá,29/12/2022,16.5
Bogotá,30/12/2022,17.3
Bogotá,31/12/2022,16.8
Bogotá,01/01/2023,14.5
Bogotá,02/01/2023,15.8
Bogotá,03/01/2023,10.0
Bogotá,04/01/2023,10.5
Bogotá,05/01/2023,12.8
Bogotá,06/01/2023,11.9
Bogotá,07/01/2023,14.4
Bogotá,08/01/2023,13.8
Bogotá,09/01/2023,11.6
Bogotá,10/01/2023,14.0
Bogotá,11/01/2023,17.6
Bogotá,12/01/2023,17.9
Bogotá,13/01/2023,16.7
Bogotá,14/01/2023,10.0
Bogotá,15/01/2023,12.9
Bogotá,16/01/2023,11.8
Bogotá,17/01/2023,14.7
Bogotá,18/01/2023,11.9
Bogotá,19/01/2023,16.5
Bogotá,20/01/2023,17.5
Bogotá,21/01/2023,12.0
Bogotá,22/01/2023,17.3
Bogotá,23/01/2023,15.4
Bogotá,24/01/2023,15.5
Bogotá,25/01/2023,11.5
Bogotá,26/01/2023,11.3
Bogotá,27/01/2023,10.9
Bogotá,28/01/2023,16.7
Bogotá,29/01/2023,10.9
Bogotá,30/01/2023,10.8
Bogotá,31/01/2023,12.0
Bogotá,01/02/2023,10.6
Bogotá,02/02/2023,14.8
Bogotá,03/02/2023,11.7
Bogotá,04/02/2023,13.0
Bogotá,05/02/2023,12.0
Bogotá,06/02/2023,15.7
Bogotá,07/02/2023,15.0
Bogotá,08/02/2023,16.5
Bogotá,09/02/2023,13.2
Bogotá,10/02/2023,16.6
Bogotá,11/02/2023,10.8
Bogotá,12/02/2023,16.9
Bogotá,13/02/2023,12.3
Bogotá,14/02/2023,11.2
Bogotá,15/02/2023,10.7
Bogotá,16/02/2023,11.2
Bogotá,17/02/2023,14.3
Bogotá,18/02/2023,16.4
Bogotá,19/02/2023,15.4
Bogotá,20/02/2023,16.3
Bogotá,21/02/2023,15.3
Bogotá,22/02/2023,13.5
Bogotá,23/02/2023,15.4
Bogotá,24/02/2023,10.7
Bogotá,25/02/2023,10.3
Bogotá,26/02/2023,12.3
Bogotá,27/02/2023,15.3
Bogotá,28/02/2023,14.6
Bogotá,01/03/2023,11.5
Bogotá,02/03/2023,16.2
Bogotá,03/03/2023,15.9
Bogotá,04/03/2023,17.5
Bogotá,05/03/2023,10.5
Bogotá,06/03/2023,17.3
Bogotá,07/03/2023,12.1
Bogotá,08/03/2023,13.0
Bogotá,09/03/2023,16.1
Bogotá,10/03/2023,12.2
Bogotá,11/03/2023,12.6
Bogotá,12/03/2023,16.9
Bogotá,13/03/2023,12.8
Bogotá,14/03/2023,14.0
Bogotá,15/03/2023,14.7
Bogotá,16/03/2023,13.8
Bogotá,17/03/2023,16.4
Bogotá,18/03/2023,13.4
Bogotá,19/03/2023,12.5
Bogotá,20/03/2023,10.2
Bogotá,21/03/2023,15.3
Bogotá,22/03/2023,13.9
Bogotá,23/03/2023,11.7
Bogotá,24/03/2023,11.8
Bogotá,25/03/2023,15.8
Bogotá,26/03/2023,13.8
Bogotá,27/03/2023,13.5
Bogotá,28/03/2023,11.0
Bogotá,29/03/2023,14.9
Bogotá,30/03/2023,14.1
Bogotá,31/03/2023,13.8
Bogotá,01/04/2023,15.3
